1189391897	Nicky Jam & Enrique Iglesias	El Perdón (with Enrique Iglesias)	Urbano latino	2017	["latin","hiphop"]
1102851197	Enrique Iglesias	DUELE EL CORAZÓN (feat. Wisin)	Pop Latino	2016	["pop","latin"]
1467966477	Enrique Iglesias	Lloro Por Ti (feat. Wisin & Yandel) [Remix]	Urbano latino	2009	["latin","hiphop"]
1521763196	Enrique Iglesias	No Llores por Mi	Latin	1995	["latin"]
1521763338	Enrique Iglesias	Nunca Te Olvidaré	Latin	1998	["latin"]
1332868074	Enrique Iglesias	EL BAÑO (feat. Bad Bunny)	Urbano latino	2018	["latin","hiphop"]
1469556652	Wisin & Yandel & 50 Cent	Mujeres In the Club	Urbano latino	2009	["latin","hiphop"]
1473988874	Piso 21 & Black Eyed Peas	Mami	Latin	2019	["latin"]
1670245874	KAROL G, Bad Gyal & Sean Paul	KÁRMIKA	Latin	2023	["latin"]
1457188745	Sean Paul & J Balvin	Contra la Pared	Latin	2019	["latin"]
1683007602	Feid & Sean Paul	Niña Bonita	Latin	2023	["latin"]
1668499303	Banda MS de Sergio Lizárraga & Snoop Dogg	Qué Maldición	Música Mexicana	2020	["latin"]
1489407685	Ozuna, Anuel AA & Snoop Dogg	Patek	Urbano latino	2019	["latin","hiphop"]
1668501642	Banda MS de Sergio Lizárraga, Snoop Dogg & Becky G	Qué Maldición (Remix)	Música Mexicana	2020	["latin"]
1506732771	Rvssian, Anuel AA & Juice WRLD	No Me Ame	Latin	2020	["latin"]
1460175382	Daddy Yankee & Katy Perry	Con Calma (feat. Snow) [Remix]	Latin	2019	["latin"]
1728939096	Fuerza Regida	TÚ NAME	Música Mexicana	2024	["latin"]
1712363845	Fuerza Regida	EXCESOS	Música Mexicana	2023	["latin"]
1635944337	Fuerza Regida & Edgardo Nuñez	Billete Grande (En Vivo)	Música Mexicana	2022	["latin"]
1786262016	Fuerza Regida & Grupo Frontera	COQUETA	Música Mexicana	2024	["latin"]
1589924124	Fuerza Regida	Descansando	Música Mexicana	2021	["latin"]
1676124812	Fuerza Regida	Desvelado	Música Mexicana	2023	["latin"]
1488540433	Fuerza Regida	El Muchacho Alegre	Música Mexicana	2019	["latin"]
1660156931	Fuerza Regida & Eden Muñoz	Y Me Verán	Música Mexicana	2022	["latin"]
1611653087	Los Gemelos De Sinaloa & Fuerza Regida	No Le Aflojo	Música Mexicana	2022	["latin"]
1446953756	Fuerza Regida	Sigo Chambeando	Música Mexicana	2018	["latin"]
1659925720	Fuerza Regida & Grupo Frontera	Bebe Dame	Música Mexicana	2022	["latin"]
1728939092	Fuerza Regida	Brillarosa	Música Mexicana	2024	["latin"]
1407122381	Fuerza Regida	Dos Plumas	Música Mexicana	2018	["latin"]
